Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
1,20.85,1.0000,35.00,20.85,296
2,115.54,1.0000,140.00,115.54,826
3,669.73,1.0000,715.00,669.73,1787
4,185.68,1.0000,215.00,185.68,2419
5,176.70,1.0000,210.00,176.70,3125
6,372.88,1.0000,410.00,372.88,3913
7,100.86,1.0000,125.00,100.86,4427
8,206.57,1.0000,240.00,206.57,5146
9,109.82,1.0000,135.00,109.82,5684
10,133.11,1.0000,155.00,133.11,6151
11,96.92,1.0000,120.00,96.92,6649
12,99.30,1.0000,125.00,99.30,7195
13,122.19,1.0000,155.00,122.19,7898
14,137.10,1.0000,170.00,137.10,8602
15,20.10,1.0000,35.00,20.10,8922
16,223.34,1.0000,260.00,223.34,9692
17,48.40,1.0000,65.00,48.40,10048
18,89.42,1.0000,110.00,89.42,10480
19,60.68,1.0000,80.00,60.68,10892
20,109.09,1.0000,140.00,109.09,11549
21,91.14,1.0000,105.00,91.14,11843
22,44.90,1.0000,65.00,44.90,12271
23,261.50,1.0000,295.00,261.50,12991
24,21.41,1.0000,35.00,21.41,13286
25,99.28,1.0000,130.00,99.28,13944
26,37.38,1.0000,55.00,37.38,14320
27,88.34,1.0000,110.00,88.34,14778
28,36.97,1.0000,50.00,36.97,15057
29,156.75,1.0000,180.00,156.75,15552
30,193.04,1.0000,225.00,193.04,16228
31,309.21,1.0000,350.00,309.21,17107
32,112.12,1.0000,135.00,112.12,17599
33,13.61,1.0000,30.00,13.61,17950
34,16.12,1.0000,30.00,16.12,18244
35,94.49,1.0000,120.00,94.49,18797
36,114.48,1.0000,145.00,114.48,19451
37,191.89,1.0000,225.00,191.89,20158
38,118.09,1.0000,145.00,118.09,20729
39,58.96,1.0000,80.00,58.96,21177
40,77.09,1.0000,105.00,77.09,21774
41,160.02,1.0000,185.00,160.02,22300
42,96.86,1.0000,120.00,96.86,22784
43,62.12,1.0000,75.00,62.12,23048
44,112.80,1.0000,135.00,112.80,23514
45,92.35,1.0000,110.00,92.35,23887
46,136.58,1.0000,155.00,136.58,24277
47,204.92,1.0000,245.00,204.92,25133
48,66.71,1.0000,80.00,66.71,25422
49,78.30,1.0000,105.00,78.30,25992
50,56.75,1.0000,75.00,56.75,26379
51,46.57,1.0000,60.00,46.57,26666
52,46.70,1.0000,60.00,46.70,26954
53,79.95,1.0000,105.00,79.95,27487
54,123.82,1.0000,155.00,123.82,28155
55,41.40,1.0000,55.00,41.40,28449
56,85.03,1.0000,105.00,85.03,28882
57,89.92,1.0000,110.00,89.92,29312
82,97.88,1.0000,120.00,97.88,42052
83,395.75,1.0000,430.00,395.75,42787
84,682.51,1.0000,715.00,682.51,43482
85,116.28,1.0000,135.00,116.28,43880
86,363.45,1.0000,395.00,363.45,44549
87,50.82,1.0000,65.00,50.82,44855
88,40.87,1.0000,55.00,40.87,45150
89,96.65,1.0000,120.00,96.65,45653
90,232.35,1.0000,275.00,232.35,46564
91,185.99,1.0000,210.00,185.99,47081
92,41.26,1.0000,55.00,41.26,47375
93,98.01,1.0000,120.00,98.01,47850
94,51.36,1.0000,65.00,51.36,48142
95,127.99,1.0000,160.00,127.99,48827
96,285.43,1.0000,320.00,285.43,49570
97,59.77,1.0000,75.00,59.77,49885
98,166.57,0.9986,200.00,166.57,50606
99,110.96,0.9972,140.00,110.96,51224
100,148.48,0.9958,180.00,148.48,51890
101,85.05,0.9943,110.00,85.05,52423
102,146.67,0.9929,180.00,146.67,53136
103,86.43,0.9915,105.00,86.43,53529
104,152.32,0.9901,180.00,152.32,54121
105,282.82,0.9887,315.00,282.82,54811
106,111.83,0.9873,135.00,111.83,55306
107,65.59,0.9859,95.00,65.59,55937
108,54.08,0.9844,70.00,54.08,56281
109,196.72,0.9830,225.00,196.72,56885
110,41.20,0.9816,60.00,41.20,57281
111,91.05,0.9802,110.00,91.05,57686
112,55.39,0.9788,80.00,55.39,58209
113,89.07,0.9774,110.00,89.07,58656
114,130.00,0.9760,165.00,130.00,59410
115,183.83,0.9745,225.00,183.83,60293
116,433.69,0.9731,470.00,433.69,61074
117,36.72,0.9717,50.00,36.72,61356
118,191.95,0.9703,220.00,191.95,61961
119,163.62,0.9689,190.00,163.62,62521
120,157.83,0.9675,180.00,157.83,62996
121,91.81,0.9661,110.00,91.81,63389
122,323.13,0.9646,365.00,323.13,64276
123,165.33,0.9632,195.00,165.33,64911
124,151.65,0.9618,180.00,151.65,65514
125,210.67,0.9604,240.00,210.67,66131
126,245.38,0.9590,280.00,245.38,66871
127,179.02,0.9576,210.00,179.02,67533
128,114.87,0.9562,140.00,114.87,68070
129,70.34,0.9547,90.00,70.34,68494
130,113.17,0.9533,135.00,113.17,68963
131,31.29,0.9519,45.00,31.29,69258
132,110.20,0.9505,135.00,110.20,69782
133,87.12,0.9491,105.00,87.12,70162
134,192.70,0.9477,225.00,192.70,70860
135,32.45,0.9463,50.00,32.45,71237
136,92.27,0.9448,115.00,92.27,71730
137,35.36,0.9434,55.00,35.36,72148
138,118.92,0.9420,145.00,118.92,72706
139,101.41,0.9406,120.00,101.41,73105
140,79.38,0.9392,105.00,79.38,73649
141,42.42,0.9378,55.00,42.42,73919
142,152.57,0.9364,180.00,152.57,74510
143,131.48,0.9349,155.00,131.48,75014
144,131.96,0.9335,165.00,131.96,75724
145,107.26,0.9321,135.00,107.26,76316
146,159.21,0.9307,190.00,159.21,76959
147,181.33,0.9293,210.00,181.33,77570
148,154.99,0.9279,180.00,154.99,78105
149,61.21,0.9265,75.00,61.21,78394
150,177.10,0.9250,210.00,177.10,79098
151,32.46,0.9236,50.00,32.46,79476
152,175.13,0.9222,205.00,175.13,80115
153,16.32,0.9208,30.00,16.32,80405
154,194.71,0.9194,230.00,194.71,81158
155,91.13,0.9180,105.00,91.13,81447
156,87.37,0.9166,105.00,87.37,81822
157,91.56,0.9151,110.00,91.56,82222
158,147.87,0.9137,180.00,147.87,82909
159,182.03,0.9123,210.00,182.03,83514
160,191.04,0.9109,210.00,191.04,83920
161,211.60,0.9095,245.00,211.60,84628
162,20.24,0.9081,35.00,20.24,84946
163,71.89,0.9067,90.00,71.89,85337
164,185.72,0.9052,210.00,185.72,85863
165,174.97,0.9038,210.00,174.97,86602
166,300.07,0.9024,340.00,300.07,87455
167,151.22,0.9010,180.00,151.22,88067
168,72.63,0.8996,90.00,72.63,88438
169,303.26,0.8982,340.00,303.26,89226
170,84.52,0.8968,105.00,84.52,89666
171,214.93,0.8953,245.00,214.93,90315
172,96.68,0.8939,120.00,96.68,90809
173,21.47,0.8925,35.00,21.47,91102
174,83.33,0.8911,105.00,83.33,91569
175,132.17,0.8897,155.00,132.17,92048
176,110.14,0.8883,140.00,110.14,92686
177,87.34,0.8869,105.00,87.34,93068
178,21.12,0.8854,35.00,21.12,93364
179,84.25,0.8840,105.00,84.25,93809
180,182.19,0.8826,210.00,182.19,94410
181,82.69,0.8812,105.00,82.69,94879
182,73.00,0.8798,90.00,73.00,95245
183,152.43,0.8784,180.00,152.43,95830
184,136.37,0.8770,155.00,136.37,96229
185,62.35,0.8755,75.00,62.35,96504
186,46.64,0.8741,60.00,46.64,96786
187,86.31,0.8727,110.00,86.31,97295
188,186.49,0.8713,210.00,186.49,97798
189,124.42,0.8699,150.00,124.42,98350
190,152.49,0.8685,180.00,152.49,98905
191,85.90,0.8671,105.00,85.90,99317
192,221.89,0.8656,260.00,221.89,100128
193,141.86,0.8642,165.00,141.86,100614
194,101.69,0.8628,120.00,101.69,100997
195,130.18,0.8614,155.00,130.18,101531
196,100.49,0.8600,125.00,100.49,102052
197,76.35,0.8586,95.00,76.35,102453
198,66.11,0.8572,80.00,66.11,102748
199,199.08,0.8557,225.00,199.08,103292
200,121.34,0.8543,145.00,121.34,103800
201,114.90,0.8529,140.00,114.90,104338
202,60.91,0.8515,80.00,60.91,104747
203,209.48,0.8501,250.00,209.48,105609
204,162.48,0.8487,185.00,162.48,106093
205,111.92,0.8473,135.00,111.92,106589
206,185.61,0.8458,215.00,185.61,107224
207,175.76,0.8444,200.00,175.76,107736
208,318.58,0.8430,365.00,318.58,108732
209,380.01,0.8416,410.00,380.01,109373
210,3.67,0.8402,15.00,3.67,109618
211,130.33,0.8388,155.00,130.33,110149
212,205.21,0.8374,235.00,205.21,110780
213,107.72,0.8359,135.00,107.72,111354
214,116.85,0.8345,135.00,116.85,111745
215,249.67,0.8331,290.00,249.67,112616
216,65.37,0.8317,80.00,65.37,112933
217,92.07,0.8303,110.00,92.07,113316
218,40.85,0.8289,55.00,40.85,113623
219,45.63,0.8275,60.00,45.63,113930
220,100.50,0.8260,125.00,100.50,114444
221,56.67,0.8246,70.00,56.67,114727
222,67.08,0.8232,90.00,67.08,115217
223,59.65,0.8218,75.00,59.65,115538
224,616.86,0.8204,655.00,616.86,116348
225,389.05,0.8190,425.00,389.05,117105
226,62.87,0.8176,80.00,62.87,117468
227,187.28,0.8161,210.00,187.28,117956
228,110.61,0.8147,130.00,110.61,118369
229,3.54,0.8133,15.00,3.54,118615
230,254.14,0.8119,290.00,254.14,119381
231,186.84,0.8105,210.00,186.84,119875
232,129.55,0.8091,150.00,129.55,120314
233,302.75,0.8077,345.00,302.75,121221
234,116.09,0.8062,135.00,116.09,121624
235,122.07,0.8048,140.00,122.07,122005
236,62.14,0.8034,80.00,62.14,122387
237,373.92,0.8020,420.00,373.92,123373
238,180.90,0.8006,215.00,180.90,124093
239,388.52,0.7992,430.00,388.52,124973
240,208.56,0.7978,240.00,208.56,125621
241,517.84,0.7963,565.00,517.84,126623
242,184.76,0.7949,210.00,184.76,127153
243,84.15,0.7935,105.00,84.15,127604
244,243.36,0.7921,270.00,243.36,128174
245,99.84,0.7907,125.00,99.84,128716
246,133.27,0.7893,155.00,133.27,129183
247,135.61,0.7879,155.00,135.61,129598
248,110.52,0.7864,135.00,110.52,130118
249,118.33,0.7850,140.00,118.33,130581
250,158.65,0.7836,180.00,158.65,131034
251,195.73,0.7822,225.00,195.73,131659
252,91.42,0.7808,110.00,91.42,132057
253,117.57,0.7794,140.00,117.57,132526
254,566.75,0.7780,630.00,566.75,133869
255,34.47,0.7765,50.00,34.47,134202
256,187.01,0.7751,210.00,187.01,134687
257,106.17,0.7737,120.00,106.17,134980
258,82.32,0.7723,105.00,82.32,135466
259,44.20,0.7709,60.00,44.20,135798
