Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
144,160.56,0.9293,195.00,160.56,73893
145,37.80,0.9279,65.00,37.80,74362
146,37.40,0.9265,60.00,37.40,74748
147,90.45,0.9250,120.00,90.45,75257
148,76.65,0.9236,95.00,76.65,75568
149,159.00,0.9222,185.00,159.00,76021
150,85.35,0.9208,115.00,85.35,76517
151,89.63,0.9194,150.00,89.63,77574
152,133.30,0.9180,160.00,133.30,78032
153,1.00,0.9166,20.00,1.00,78355
154,80.00,0.9151,110.00,80.00,78875
155,198.73,0.9137,245.00,198.73,79666
156,3.35,0.9123,20.00,3.35,79955
157,80.15,0.9109,105.00,80.15,80380
158,11.20,0.9095,30.00,11.20,80699
159,110.00,0.9081,135.00,110.00,81135
160,97.95,0.9067,115.00,97.95,81434
161,150.00,0.9052,180.00,150.00,81957
162,109.87,0.9038,155.00,109.87,82742
163,82.20,0.9024,105.00,82.20,83143
164,43.25,0.9010,65.00,43.25,83526
165,28.15,0.8996,50.00,28.15,83904
166,194.95,0.8982,240.00,194.95,84689
167,42.10,0.8968,60.00,42.10,84992
168,56.95,0.8953,80.00,56.95,85382
169,179.30,0.8939,210.00,179.30,85919
170,67.85,0.8925,90.00,67.85,86302
171,206.77,0.8911,235.00,206.77,86800
172,214.44,0.8897,255.00,214.44,87518
173,54.65,0.8883,75.00,54.65,87865
174,189.55,0.8869,240.00,189.55,88725
175,69.55,0.8854,100.00,69.55,89248
176,58.30,0.8840,80.00,58.30,89626
177,11.85,0.8826,35.00,11.85,90030
178,185.70,0.8812,230.00,185.70,90794
179,382.77,0.8798,430.00,382.77,91629
180,162.07,0.8784,210.00,162.07,92452
181,398.79,0.8770,445.00,398.79,93262
182,152.52,0.8755,180.00,152.52,93732
183,87.83,0.8741,115.00,87.83,94209
184,71.65,0.8727,100.00,71.65,94701
185,184.70,0.8713,210.00,184.70,95148
186,58.35,0.8699,85.00,58.35,95603
187,13.60,0.8685,35.00,13.60,95975
188,110.37,0.8671,155.00,110.37,96748
189,48.45,0.8656,65.00,48.45,97027
190,68.85,0.8642,95.00,68.85,97479
191,28.10,0.8628,45.00,28.10,97777
192,159.50,0.8614,185.00,159.50,98214
193,161.75,0.8600,195.00,161.75,98789
194,182.84,0.8586,215.00,182.84,99352
195,15.40,0.8572,45.00,15.40,99870
196,70.12,0.8557,90.00,70.12,100212
197,320.50,0.8543,370.00,320.50,101075
198,82.95,0.8529,110.00,82.95,101550
